test,file,delta_id,iteration,algorithm_time,total_time
my,tiny_trace,0,0,0.000045,0.02127695083618164
my,tiny_trace,1,0,0.000028,0.0005841255187988281
my,tiny_trace,2,0,0.000008,3.170967102050781e-05
my,tiny_trace,3,0,0.000007,0.0002415180206298828
my,tiny_trace,4,0,0.000017,3.075599670410156e-05
my,tiny_trace,5,0,0.000007,0.00025844573974609375
my,tiny_trace,6,0,0.000008,2.9325485229492188e-05
my,tiny_trace,7,0,0.000016,3.24249267578125e-05
my,tiny_trace,8,0,0.000014,0.00025272369384765625
my,tiny_trace,9,0,0.000012,3.0994415283203125e-05
my,tiny_trace,10,0,0.000016,3.0994415283203125e-05
my,tiny_trace,11,0,0.000015,0.0003552436828613281
my,tiny_trace,12,0,0.000014,2.1696090698242188e-05
my,tiny_trace,13,0,0.000016,1.8358230590820312e-05
my,tiny_trace,14,0,0.000013,1.7404556274414062e-05
my,tiny_trace,15,0,0.000013,3.123283386230469e-05
my,tiny_trace,16,0,0.000016,2.0503997802734375e-05
my,tiny_trace,17,0,0.000014,2.7894973754882812e-05
my,tiny_trace,18,0,0.000011,2.0265579223632812e-05
my,tiny_trace,19,0,0.000012,1.7404556274414062e-05
my,tiny_trace,20,0,0.000008,1.7404556274414062e-05
my,tiny_trace,21,0,0.000004,3.2901763916015625e-05
goldberg,tiny_trace,0,0,0.000000,0.0030617713928222656
goldberg,tiny_trace,1,0,0.000000,0.002635478973388672
goldberg,tiny_trace,2,0,0.000000,0.002653360366821289
goldberg,tiny_trace,3,0,0.000000,0.002819061279296875
goldberg,tiny_trace,4,0,0.000000,0.0028808116912841797
goldberg,tiny_trace,5,0,0.000000,0.0031681060791015625
goldberg,tiny_trace,6,0,0.000688,0.0030388832092285156
goldberg,tiny_trace,7,0,0.000000,0.0029802322387695312
goldberg,tiny_trace,8,0,0.000000,0.0028312206268310547
goldberg,tiny_trace,9,0,0.000000,0.0028803348541259766
goldberg,tiny_trace,10,0,0.000000,0.002942323684692383
goldberg,tiny_trace,11,0,0.000000,0.0030858516693115234
goldberg,tiny_trace,12,0,0.000000,0.0030088424682617188
goldberg,tiny_trace,13,0,0.000000,0.0028076171875
goldberg,tiny_trace,14,0,0.000000,0.0031273365020751953
goldberg,tiny_trace,15,0,0.000000,0.0028357505798339844
goldberg,tiny_trace,16,0,0.000000,0.0026836395263671875
goldberg,tiny_trace,17,0,0.000000,0.0028159618377685547
goldberg,tiny_trace,18,0,0.000000,0.002891063690185547
goldberg,tiny_trace,19,0,0.000000,0.002790212631225586
goldberg,tiny_trace,20,0,0.000000,0.0030100345611572266
goldberg,tiny_trace,21,0,0.000000,0.0029997825622558594
goldberg,tiny_trace,22,0,0.000000,0.0029649734497070312
my,tiny_trace,0,1,0.000046,0.022727489471435547
my,tiny_trace,1,1,0.000021,0.0005075931549072266
my,tiny_trace,2,1,0.000008,3.0994415283203125e-05
my,tiny_trace,3,1,0.000008,0.0002675056457519531
my,tiny_trace,4,1,0.000018,3.0279159545898438e-05
my,tiny_trace,5,1,0.000008,3.0040740966796875e-05
my,tiny_trace,6,1,0.000008,3.24249267578125e-05
my,tiny_trace,7,1,0.000015,2.956390380859375e-05
my,tiny_trace,8,1,0.000014,0.0002493858337402344
my,tiny_trace,9,1,0.000013,3.0040740966796875e-05
my,tiny_trace,10,1,0.000017,3.24249267578125e-05
my,tiny_trace,11,1,0.000012,3.314018249511719e-05
my,tiny_trace,12,1,0.000014,3.0040740966796875e-05
my,tiny_trace,13,1,0.000013,3.337860107421875e-05
my,tiny_trace,14,1,0.000013,3.337860107421875e-05
my,tiny_trace,15,1,0.000018,3.3855438232421875e-05
my,tiny_trace,16,1,0.000016,3.0279159545898438e-05
my,tiny_trace,17,1,0.000015,2.4318695068359375e-05
my,tiny_trace,18,1,0.000018,2.2172927856445312e-05
my,tiny_trace,19,1,0.000019,1.8358230590820312e-05
my,tiny_trace,20,1,0.000010,2.0503997802734375e-05
my,tiny_trace,21,1,0.000006,1.811981201171875e-05
goldberg,tiny_trace,0,1,0.000000,0.004090309143066406
goldberg,tiny_trace,1,1,0.000000,0.003050565719604492
goldberg,tiny_trace,2,1,0.000000,0.002855062484741211
goldberg,tiny_trace,3,1,0.000037,0.0027167797088623047
goldberg,tiny_trace,4,1,0.000000,0.002995729446411133
goldberg,tiny_trace,5,1,0.000000,0.0028960704803466797
goldberg,tiny_trace,6,1,0.000000,0.002967357635498047
goldberg,tiny_trace,7,1,0.000000,0.0028998851776123047
goldberg,tiny_trace,8,1,0.000000,0.002941131591796875
goldberg,tiny_trace,9,1,0.000000,0.0028371810913085938
goldberg,tiny_trace,10,1,0.000000,0.0028231143951416016
goldberg,tiny_trace,11,1,0.000000,0.002880096435546875
goldberg,tiny_trace,12,1,0.000000,0.002899646759033203
goldberg,tiny_trace,13,1,0.000000,0.0027124881744384766
goldberg,tiny_trace,14,1,0.000000,0.0027523040771484375
goldberg,tiny_trace,15,1,0.000000,0.002866029739379883
goldberg,tiny_trace,16,1,0.000000,0.0029501914978027344
goldberg,tiny_trace,17,1,0.000000,0.0028727054595947266
goldberg,tiny_trace,18,1,0.000000,0.002816438674926758
goldberg,tiny_trace,19,1,0.000000,0.0029535293579101562
goldberg,tiny_trace,20,1,0.000000,0.0029261112213134766
goldberg,tiny_trace,21,1,0.000000,0.002970457077026367
goldberg,tiny_trace,22,1,0.000000,0.0029823780059814453
my,tiny_trace,0,2,0.000045,0.021716594696044922
my,tiny_trace,1,2,0.000021,0.0003795623779296875
my,tiny_trace,2,2,0.000008,0.00028705596923828125
my,tiny_trace,3,2,0.000007,2.09808349609375e-05
my,tiny_trace,4,2,0.000010,1.6927719116210938e-05
my,tiny_trace,5,2,0.000005,0.0002186298370361328
my,tiny_trace,6,2,0.000007,2.0742416381835938e-05
my,tiny_trace,7,2,0.000009,1.6927719116210938e-05
my,tiny_trace,8,2,0.000011,1.7404556274414062e-05
my,tiny_trace,9,2,0.000007,0.00036263465881347656
my,tiny_trace,10,2,0.000011,2.0742416381835938e-05
my,tiny_trace,11,2,0.000011,1.7404556274414062e-05
my,tiny_trace,12,2,0.000008,1.7404556274414062e-05
my,tiny_trace,13,2,0.000010,1.71661376953125e-05
my,tiny_trace,14,2,0.000010,0.0002849102020263672
my,tiny_trace,15,2,0.000011,2.0742416381835938e-05
my,tiny_trace,16,2,0.000010,1.8596649169921875e-05
my,tiny_trace,17,2,0.000013,1.8358230590820312e-05
my,tiny_trace,18,2,0.000011,1.7881393432617188e-05
my,tiny_trace,19,2,0.000011,1.811981201171875e-05
my,tiny_trace,20,2,0.000008,0.00012111663818359375
my,tiny_trace,21,2,0.000004,1.9788742065429688e-05
goldberg,tiny_trace,0,2,0.000000,0.003117084503173828
goldberg,tiny_trace,1,2,0.000000,0.002886533737182617
goldberg,tiny_trace,2,2,0.000000,0.002925872802734375
goldberg,tiny_trace,3,2,0.000000,0.002794027328491211
goldberg,tiny_trace,4,2,0.000000,0.0028841495513916016
goldberg,tiny_trace,5,2,0.000000,0.0027954578399658203
goldberg,tiny_trace,6,2,0.000000,0.002989053726196289
goldberg,tiny_trace,7,2,0.000000,0.002908468246459961
goldberg,tiny_trace,8,2,0.000000,0.0029027462005615234
goldberg,tiny_trace,9,2,0.000000,0.002935647964477539
goldberg,tiny_trace,10,2,0.000000,0.002791166305541992
goldberg,tiny_trace,11,2,0.000000,0.002811431884765625
goldberg,tiny_trace,12,2,0.000000,0.002917766571044922
goldberg,tiny_trace,13,2,0.000000,0.0028960704803466797
goldberg,tiny_trace,14,2,0.000000,0.0029892921447753906
goldberg,tiny_trace,15,2,0.000000,0.0029706954956054688
goldberg,tiny_trace,16,2,0.000000,0.003006458282470703
goldberg,tiny_trace,17,2,0.000067,0.002788543701171875
goldberg,tiny_trace,18,2,0.000000,0.002796649932861328
goldberg,tiny_trace,19,2,0.000000,0.0028524398803710938
goldberg,tiny_trace,20,2,0.000000,0.0028219223022460938
goldberg,tiny_trace,21,2,0.000040,0.0031397342681884766
goldberg,tiny_trace,22,2,0.000000,0.002650022506713867
